track_name, artist_name, source, source_url,
Oh Girl, The Chi-Lites, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
When I Fall In Love, Nat King Cole, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Have I Told You Lately, Van Morrison, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
How Can I Tell You, Cat Stevens, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Alison, Elvis Costello, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Do You Love Me?, Fiddler on the Roof, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Some Enchanted Evening, South Pacific, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Someone to Watch Over Me, Linda Ronstadt, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
A Man and a Woman, Anita Kerr Singers, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Natural Woman, Aretha Franklin, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
All I Want, Joni Mitchell, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
At Last,  Etta James, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
You Make Loving Fun, Fleetwood Mac, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Songbird, Fleetwood Mac, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Just the Way You Are, Billy Joel, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Last Dance, Donna Summer, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Fever, Peggy Lee, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Do You Want to Dance?, Bette Midler, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Sexual Healing, Marvin Gaye, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Crazy, Patsy Cline, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Always on My Mind, Willie Nelson, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Saving All My Love for You, Whitney Houston, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
On the Street Where You Live, From My Fair Lady, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Somewhere, Stephen Sondheim and Leonard Bernstein, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Still in Love With You, Al Green, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Do You Believe in Magic?, The Lovin’ Spoonful, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Just Like a Woman, Bob Dylan, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
P.S. I Love You, The Beatles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Chelsea Morning, Joni Mitchell, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Girl, The Beatles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Kiss From a Rose, Seal, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Vision of Love, Mariah Carey, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
With or Without You, U2, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Moon River, Henry Mancini, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Take on Me, a-ha, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Crazy for You, Madonna, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Time After Time, Cyndi Lauper, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Come On Eileen, Dexys Midnight Runners, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Love You Inside Out, Bee Gees, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
You’re the One That I Want, John Travolta and Olivia Newton-John, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
How Deep Is Your Love, The Bee Gees, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
You Don’t Have to Be a Star (To Be in My Show), Marilyn McCoo and Billy Davis Jr., Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Shining Star, Earth Wind & Fire, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Lovin’ You, Minnie Ripperton, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Then Came You, Dionne Warwick and the Spinners, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Can’t Get Enough of Your Love Babe, Barry White, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Feel Like Makin’ Love, Roberta Flack, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Love’s Theme, The Love Unlimited Orchestra, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
The Way We Were, Barbra Streisand, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Midnight Train To Georgia, Gladys Knight, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Let’s Get It On, Marvin Gaye, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
You Are the Sunshine of My Life, Stevie Wonder, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Lean on Me, Bill Withers, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Here, There and Everywhere, The Beatles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Heart of Gold, Neil Young, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Let’s Stay Together, Al Green, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Ain’t No Mountain High Enough,Diana Ross, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Close to You, The Carpenters, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
The Long and Winding Road, The Beatles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Sugar Sugar, The Archies, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Higher Love, Steve Winwood, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Love Theme From Romeo and Juliet, Henry Mancini, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
This Guy’s in Love With You, Herb Alpert, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Baby Love, The Supremes, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Strangers in the Night, Frank Sinatra, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Reach Out I’ll Be There, The Four Tops, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
When a Man Loves a Woman, Percy Sledge, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
I Will Always Love You, Dolly Parton/Whitney Houston, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
You’re My Soul and Inspiration The Righteous Brothers, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
My Love, Petula Clark, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
I Got You Babe, Sonny and Cher, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Back in My Arms Again, The Supremes, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Happy Together, The Turtles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
My Guy,Mary Wells, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Chapel of Love, The Dixie Cups, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
I Will Follow Him, Little Peggy March, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
He’s So Fine, The Chiffons, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Up on the Roof, The Drifters, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Will You Love Me Tomorrow, Carole King, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Stay, Maurice Williams and the Zodiacs, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Save the Last Dance for Me, The Drifters, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Unchained Melody, The Righteous Brothers, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Crazy Little Thing Called Love, Queen, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Sherry, The Four Seasons, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
To Sir With Love, Lulu, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Killing Me Softly With His Song, Roberta Flack, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
You’ve Got a Frien, Carole King, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
All I Have to Do Is Dream, The Everly Brothers, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Bridge Over Troubled Water, Simon & Garfunkel, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Best of My Love, The Emotions, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
I Can’t Stop Loving You, Ray Charles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Michelle, The Beatles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Are You Lonesome Tonight?, Elvis Presley, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
The First Time Ever I Saw Your Face, Roberta Flack, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
In My Life, The Beatles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
You Are So Beautiful, Joe Cocker, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
I Just Called to Say I Love You, Stevie Wonder, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Wonderful Tonight, Eric Clapton, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
I’ll Be There, The Jackson 5, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
My Girl, The Temptations, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
